Driver,Var
Oliver Jarvis,64.42535922666667
Dane Cameron,3.902850836734697
Pipo Derani,41.11051934547346
Joao Barbosa,3.3168596052318695
Helio Castroneves,3.5456806875000026
Ryan Hunter-Reay,66.6398662212144
Simon Trummer,45.47909547110991
Renger Van Der Zande,4.585628476666666
Misha Goikhberg,46.94215836633914
Will Owen,58.57209205442177
Patrick Pilet,10.369003950113376
Jonathan Bennett,13.583270816326543
Tommy Milner,152.34423190028363
Sebastien Bourdais,6.067611592091572
Laurens Vanthoor,3.022760975894814
Connor De Phillippi,51.46731950617283
Jesse Krohn,51.55381527346938
Eric Lux,4.046586875000002
Jan Magnussen,3.0790013664000018
Ryan Briscoe,2.738234678571428
Richard Heistand,3.0592610707070733
Will Hardeman,76.09953034277345
Ben Keating,3.476672640998957
Trent Hindman,1.9099965135802481
Matt Plumb,75.92723876839506
Christina Nielsen,3.083495280073467
Frank Montecalvo,4.3957474375000025
Zacharie Robichon,62.901096499433116
Parker Chase,76.09775096583562
Ryan Hardwick,56.69836559277343
Gar Robinson V,67.39640797145066
Cooper MacNeil,92.26708449947974
Marco Seefried,70.47356193293672
John Potter,4.195627773152963
Cameron Cassels,109464.15272363053
Robby Foley,nan
Colin Braun,72.16517021746594
Nick Tandy,34.60680277077552
Antonio Garcia,37.65873381506748
Juan Pablo Montoya,55.53220667697185
Ricky Taylor,43.97084619537588
Tom Blomqvist,27.46156996234375
Filipe Albuquerque,85.71029471778547
Richard Westbrook,36.91133749911872
Jordan Taylor,55.11118071712018
Dirk Mueller,35.749351892266674
Jeroen Bleekemolen,0.0
Toni Vilander,43.74988500617283
Andy Lally,43.4201340617284
Bryan Sellers,29.703845131944448
Townsend Bell,41.581640768325606
Matthew McMurry,44.07010292018699
Alex Riberas,37.87427145293212
Jack Hawksworth,43.735556026271325
Katherine Legge,135.3275088328571
John Edwards,28.101807277584886
Ryan Dalziel,40.60754798298677
Earl Bamber,31.38397505256894
Lawson Aschenbach,49.70810912867647
Paul Holton,306.46366956408167
Scott Hargrove,33.70868998979591
Patrick Long,31.12891378930395
Mario Farnbacher,33.43595669174953
Tristan Nunez,34.92134465652892
Oliver Gavin,1.2755421023999995
Stephen Simpson,43.16995158348166
Felipe Nasr,61.559495795656815
Jonathan Bomarito,31.42316699852071
Kyle Kaiser,41.25740309111881
Tristan Vautier,49.907215795599996
Kyle Masson,25.249461575259524
