Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,SP5
77,DPi,Oliver Jarvis,1,1:50.890,1900-01-01 00:01:50.890000,Green,Track,7.577,13.515,11.892,15.951,14.936,2.096,0.544,7.006,14.288,13.697,5.257,4.129,150.401
6,DPi,Dane Cameron,1,1:51.306,1900-01-01 00:01:51.306000,Green,Track,7.373,12.632,11.742,15.911,14.697,2.082,0.539,7.157,14.386,13.667,5.299,4.169,151.796
31,DPi,Pipo Derani,1,1:52.633,1900-01-01 00:01:52.633000,Green,Track,7.057,12.152,11.702,15.962,14.859,2.1,0.546,7.323,14.835,14.12,5.396,4.149,149.85
5,DPi,Joao Barbosa,1,1:56.662,1900-01-01 00:01:56.662000,Green,Track,7.132,11.479,11.838,15.528,14.634,2.122,0.552,7.676,17.254,14.8,5.576,4.242,148.221
7,DPi,Helio Castroneves,1,1:57.675,1900-01-01 00:01:57.675000,Green,Track,7.509,12.723,11.537,15.932,15.365,2.139,0.551,7.638,18.363,15.15,5.574,4.208,148.49
55,DPi,Ryan Hunter-Reay,1,1:58.005,1900-01-01 00:01:58.005000,Green,Track,7.556,10.729,11.422,15.673,14.5,2.039,0.531,7.583,18.476,15.272,5.609,4.167,154.083
84,DPi,Simon Trummer,1,1:58.580,1900-01-01 00:01:58.580000,Green,Track,7.688,9.897,11.055,15.512,14.487,2.144,0.555,7.511,18.3,15.316,5.66,4.257,147.42
10,DPi,Renger Van Der Zande,1,1:58.858,1900-01-01 00:01:58.858000,Green,Track,7.575,10.583,11.533,15.27,14.527,2.1,0.547,7.452,18.598,15.417,5.71,4.212,149.576
85,DPi,Misha Goikhberg,1,1:59.711,1900-01-01 00:01:59.711000,Green,Track,7.256,9.807,10.664,15.201,14.325,2.106,0.546,7.612,18.523,15.931,5.514,4.37,149.85
50,DPi,Will Owen,1,2:00.040,1900-01-01 00:02:00.040000,Green,Track,7.481,9.845,11.339,15.077,14.331,2.08,0.539,7.676,18.773,15.819,5.608,4.565,151.796
911,GTLM,Patrick Pilet,1,2:00.667,1900-01-01 00:02:00.667000,Green,Track,6.852,8.404,7.598,12.928,12.923,2.215,0.575,8.376,17.109,15.868,5.663,4.556,142.292
54,DPi,Jonathan Bennett,1,2:01.703,1900-01-01 00:02:01.703000,Green,Track,7.21,10.022,10.293,14.793,14.138,2.033,0.534,8.05,18.61,16.74,5.814,4.614,153.218
4,GTLM,Tommy Milner,1,2:01.958,1900-01-01 00:02:01.958000,Green,Track,6.992,9.359,7.81,13.714,14.072,2.24,0.582,8.436,17.129,16.559,5.875,4.615,140.581
66,GTLM,Sebastien Bourdais,1,2:02.249,1900-01-01 00:02:02.249000,Green,Track,7.208,9.437,8.924,14.23,14.521,2.293,0.595,8.508,17.403,16.587,5.879,4.647,137.51
912,GTLM,Laurens Vanthoor,1,2:02.632,1900-01-01 00:02:02.632000,Green,Track,7.195,9.146,8.576,14.052,14.231,2.254,0.587,8.369,17.912,16.677,5.891,4.713,139.384
25,GTLM,Connor De Phillippi,1,2:03.239,1900-01-01 00:02:03.239000,Green,Track,6.951,8.842,7.725,13.274,13.864,2.237,0.58,8.272,17.681,16.988,5.989,4.715,141.066
24,GTLM,Jesse Krohn,1,2:03.518,1900-01-01 00:02:03.518000,Green,Track,7.025,9.126,8.533,13.743,14.2,2.237,0.584,8.622,17.609,17.24,6.017,4.719,140.1
52,LMP2,Eric Lux,1,2:03.678,1900-01-01 00:02:03.678000,Green,Track,7.431,9.25,9.679,15.068,14.804,2.217,0.576,8.41,17.929,17.147,6.112,5.198,142.045
3,GTLM,Jan Magnussen,1,2:03.791,1900-01-01 00:02:03.791000,Green,Track,6.853,8.78,7.387,13.304,13.837,2.227,0.618,8.431,17.673,17.14,6.093,4.636,132.392
67,GTLM,Ryan Briscoe,1,2:04.162,1900-01-01 00:02:04.162000,Green,Track,7.056,8.714,8.025,13.685,13.981,2.262,0.586,8.523,18.212,17.029,6.164,4.646,139.621
14,GTD,Richard Heistand,1,2:04.512,1900-01-01 00:02:04.512000,Green,Track,6.403,9.97,8.951,11.441,11.733,2.235,0.586,7.966,17.808,16.983,6.13,4.731,139.621
19,GTD,Will Hardeman,1,2:05.004,1900-01-01 00:02:05.004000,Green,Track,6.403,9.438,8.047,11.308,11.421,2.24,0.588,8.147,17.513,17.122,6.026,4.846,139.147
33,GTD,Ben Keating,1,2:05.700,1900-01-01 00:02:05.700000,Green,Track,6.755,9.647,8.531,11.696,11.654,2.272,0.589,7.833,17.842,17.222,6.107,5.452,138.91
86,GTD,Trent Hindman,1,2:05.677,1900-01-01 00:02:05.677000,Green,Track,5.734,9.167,7.338,10.952,10.532,2.228,0.589,8.164,17.987,16.29,6.171,5.207,138.91
76,GTD,Matt Plumb,1,2:05.955,1900-01-01 00:02:05.955000,Green,Track,5.868,9.147,7.721,10.865,10.829,2.226,0.585,8.161,18.442,16.336,6.236,4.995,139.86
57,GTD,Christina Nielsen,1,2:05.958,1900-01-01 00:02:05.958000,Green,Track,5.225,8.483,6.666,9.969,10.156,2.205,0.576,7.992,18.277,16.399,6.264,4.774,142.045
12,GTD,Frank Montecalvo,1,2:06.285,1900-01-01 00:02:06.285000,Green,Track,6.712,9.506,8.4,11.469,11.828,2.245,0.589,8.229,19.259,16.321,6.157,4.823,138.91
9,GTD,Zacharie Robichon,1,2:06.412,1900-01-01 00:02:06.412000,Green,Track,6.239,9.376,8.027,11.16,11.434,2.24,0.589,8.081,18.137,16.562,6.057,5.968,138.91
8,GTD,Parker Chase,1,2:06.621,1900-01-01 00:02:06.621000,Green,Track,5.822,8.968,6.864,10.519,10.962,2.274,0.59,8.229,18.75,16.553,6.104,4.86,138.675
48,GTD,Ryan Hardwick,1,2:07.080,1900-01-01 00:02:07.080000,Green,Track,6.143,9.212,7.773,10.915,11.194,2.235,0.609,8.341,19.289,16.641,6.16,4.854,134.348
74,GTD,Gar Robinson V,1,2:07.386,1900-01-01 00:02:07.386000,Green,Track,5.262,8.625,6.927,10.279,10.253,2.22,0.582,8.364,18.995,16.993,5.968,4.854,140.581
