Driver,Yellow
Oliver Jarvis,0
Dane Cameron,0
Pipo Derani,0
Joao Barbosa,0
Helio Castroneves,0
Ryan Hunter-Reay,0
Simon Trummer,0
Renger Van Der Zande,0
Misha Goikhberg,0
Will Owen,0
Patrick Pilet,0
Jonathan Bennett,0
Tommy Milner,0
Sebastien Bourdais,0
Laurens Vanthoor,0
Connor De Phillippi,0
Jesse Krohn,0
Eric Lux,0
Jan Magnussen,0
Ryan Briscoe,0
Richard Heistand,0
Will Hardeman,0
Ben Keating,0
Trent Hindman,0
Matt Plumb,0
Christina Nielsen,0
Frank Montecalvo,0
Zacharie Robichon,0
Parker Chase,0
Ryan Hardwick,0
Gar Robinson V,0
Cooper MacNeil,0
Marco Seefried,0
John Potter,0
Cameron Cassels,0
Robby Foley,0
Colin Braun,1
Nick Tandy,0
Antonio Garcia,0
Juan Pablo Montoya,0
Ricky Taylor,0
Tom Blomqvist,0
Filipe Albuquerque,0
Richard Westbrook,0
Jordan Taylor,0
Dirk Mueller,0
Jeroen Bleekemolen,0
Toni Vilander,0
Andy Lally,0
Bryan Sellers,0
Townsend Bell,0
Matthew McMurry,0
Alex Riberas,0
Jack Hawksworth,0
Katherine Legge,0
John Edwards,0
Ryan Dalziel,0
Earl Bamber,0
Lawson Aschenbach,0
Paul Holton,0
Scott Hargrove,0
Patrick Long,0
Mario Farnbacher,0
Tristan Nunez,0
Oliver Gavin,0
Stephen Simpson,0
Felipe Nasr,0
Jonathan Bomarito,0
Kyle Kaiser,0
Tristan Vautier,0
Kyle Masson,0
