Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
6,DPi,Dane Cameron,1,1:49.333,1900-01-01 00:01:49.333000,Green,Track,25.363000000000003,45.972,37.996
31,DPi,Pipo Derani,1,1:50.351,1900-01-01 00:01:50.351000,Green,Track,23.875999999999998,45.44,38.72
55,DPi,Jonathan Bomarito,1,1:50.947,1900-01-01 00:01:50.947000,Green,Track,24.228,45.856,39.04
7,DPi,Helio Castroneves,1,1:52.022,1900-01-01 00:01:52.022000,Green,Track,24.840999999999998,46.678000000000004,39.82
10,DPi,Ryan Briscoe,1,1:52.830,1900-01-01 00:01:52.830000,Green,Track,23.346,45.378,40.516
77,DPi,Oliver Jarvis,1,1:53.180,1900-01-01 00:01:53.180000,Green,Track,22.465,45.383,40.73
5,DPi,Sebastien Bourdais,1,1:53.589,1900-01-01 00:01:53.589000,Green,Track,22.316999999999997,44.398999999999994,40.998000000000005
85,DPi,Gabriel Aubry,1,1:53.990,1900-01-01 00:01:53.990000,Green,Track,21.936999999999998,44.482,41.144
4,GTLM,Oliver Gavin,1,1:55.122,1900-01-01 00:01:55.122000,Green,Track,22.069000000000003,42.468999999999994,41.833999999999996
3,GTLM,Jordan Taylor,1,1:55.514,1900-01-01 00:01:55.514000,Green,Track,22.075,43.73,41.941
25,GTLM,Bruno Spengler,1,1:56.708,1900-01-01 00:01:56.708000,Green,Track,21.555999999999997,42.173,42.835
14,GTD,Aaron Telitz,1,1:57.480,1900-01-01 00:01:57.480000,Green,Track,21.135,40.905,43.255
86,GTD,Matt McMurry,1,1:57.691,1900-01-01 00:01:57.691000,Green,Track,20.872,40.374,43.358000000000004
57,GTD,Misha Goikhberg,1,1:58.133,1900-01-01 00:01:58.133000,Green,Track,20.725,40.051,43.321000000000005
12,GTD,Frankie Montecalvo,1,1:59.715,1900-01-01 00:01:59.715000,Green,Track,19.184,38.295,44.623999999999995
96,GTD,Robby Foley,1,2:00.120,1900-01-01 00:02:00.120000,Green,Track,20.061,39.911,45.063
22,GTD,Till Bechtolsheimer,1,2:00.732,1900-01-01 00:02:00.732000,Green,Track,18.69,37.32,45.281000000000006
23,GTD,Ian James,1,2:01.182,1900-01-01 00:02:01.182000,Green,Track,19.430999999999997,39.185,45.816
16,GTD,Ryan Hardwick,1,2:01.424,1900-01-01 00:02:01.424000,Green,Track,18.885,38.348,45.718999999999994
74,GTD,Gar Robinson,1,2:01.799,1900-01-01 00:02:01.799000,Green,Track,18.79,36.066,45.681000000000004
44,GTD,John Potter,1,2:02.204,1900-01-01 00:02:02.204000,Green,Track,18.448,37.053000000000004,46.19
76,GTD,Corey Fergus,1,2:02.429,1900-01-01 00:02:02.429000,Green,Track,18.355,34.429,45.885
30,GTD,Rob Ferriol,1,2:02.848,1900-01-01 00:02:02.848000,Green,Track,18.618,35.721,46.532
24,GTLM,Jesse Krohn,1,2:24.166,1900-01-01 00:02:24.166000,Green,Track,21.528000000000002,0.0,0.0
6,DPi,Dane Cameron,2,1:15.663,1900-01-01 00:03:04.996000,Green,Track,10.189,27.55,37.924
31,DPi,Pipo Derani,2,1:15.866,1900-01-01 00:03:06.217000,Green,Track,10.232999999999999,27.7,37.933
55,DPi,Jonathan Bomarito,2,1:16.167,1900-01-01 00:03:07.114000,Green,Track,10.252,28.054000000000002,37.861
7,DPi,Helio Castroneves,2,1:16.755,1900-01-01 00:03:08.777000,Green,Track,10.241,27.916,38.598
10,DPi,Ryan Briscoe,2,1:17.050,1900-01-01 00:03:09.880000,Green,Track,10.327,28.045,38.678000000000004
77,DPi,Oliver Jarvis,2,1:17.222,1900-01-01 00:03:10.402000,Green,Track,10.459000000000001,28.119,38.644
5,DPi,Sebastien Bourdais,2,1:17.352,1900-01-01 00:03:10.941000,Green,Track,10.663,27.818,38.871
85,DPi,Gabriel Aubry,2,1:17.400,1900-01-01 00:03:11.390000,Green,Track,10.837,28.066,38.497
4,GTLM,Oliver Gavin,2,1:22.566,1900-01-01 00:03:17.688000,Green,Track,11.629000000000001,29.758000000000003,41.178999999999995
3,GTLM,Jordan Taylor,2,1:22.512,1900-01-01 00:03:18.026000,Green,Track,11.544,29.956999999999997,41.011
25,GTLM,Bruno Spengler,2,1:23.119,1900-01-01 00:03:19.827000,Green,Track,11.725,30.371,41.023
14,GTD,Aaron Telitz,2,1:23.608,1900-01-01 00:03:21.088000,Green,Track,11.854000000000001,30.379,41.375
86,GTD,Matt McMurry,2,1:24.569,1900-01-01 00:03:22.260000,Green,Track,12.115,30.41,42.044
57,GTD,Misha Goikhberg,2,1:24.406,1900-01-01 00:03:22.539000,Green,Track,12.04,30.605,41.761
12,GTD,Frankie Montecalvo,2,1:25.414,1900-01-01 00:03:25.129000,Green,Track,12.388,31.021,42.005
96,GTD,Robby Foley,2,1:25.564,1900-01-01 00:03:25.684000,Green,Track,12.128,31.116,42.32
22,GTD,Till Bechtolsheimer,2,1:25.487,1900-01-01 00:03:26.219000,Green,Track,12.120999999999999,30.971999999999998,42.394
23,GTD,Ian James,2,1:26.103,1900-01-01 00:03:27.285000,Green,Track,12.412,31.178,42.513000000000005
16,GTD,Ryan Hardwick,2,1:26.337,1900-01-01 00:03:27.761000,Green,Track,12.415,31.482,42.44
74,GTD,Gar Robinson,2,1:26.489,1900-01-01 00:03:28.288000,Green,Track,12.458,31.39,42.641000000000005
76,GTD,Corey Fergus,2,1:26.335,1900-01-01 00:03:28.764000,Green,Track,12.64,31.528000000000002,42.167
44,GTD,John Potter,2,1:27.803,1900-01-01 00:03:30.007000,Green,Track,12.575,31.965999999999998,43.262
30,GTD,Rob Ferriol,2,1:27.781,1900-01-01 00:03:30.629000,Green,Track,12.519,31.691,43.571000000000005
24,GTLM,Jesse Krohn,2,1:22.185,1900-01-01 00:03:46.351000,Green,Track,11.574000000000002,29.831,40.78
6,DPi,Dane Cameron,3,1:14.617,1900-01-01 00:04:19.613000,Green,Track,10.135,27.441,37.041
31,DPi,Pipo Derani,3,1:14.749,1900-01-01 00:04:20.966000,Green,Track,10.146,27.421,37.181999999999995
55,DPi,Jonathan Bomarito,3,1:15.276,1900-01-01 00:04:22.390000,Green,Track,10.22,27.759,37.297
7,DPi,Helio Castroneves,3,1:15.526,1900-01-01 00:04:24.303000,Green,Track,10.104,27.621,37.801
10,DPi,Ryan Briscoe,3,1:15.222,1900-01-01 00:04:25.102000,Green,Track,10.117,27.734,37.371
77,DPi,Oliver Jarvis,3,1:15.427,1900-01-01 00:04:25.829000,Green,Track,10.261,27.601999999999997,37.564
5,DPi,Sebastien Bourdais,3,1:16.177,1900-01-01 00:04:27.118000,Green,Track,10.334000000000001,27.538,38.305
85,DPi,Gabriel Aubry,3,1:16.082,1900-01-01 00:04:27.472000,Green,Track,10.47,27.647,37.965
4,GTLM,Oliver Gavin,3,1:22.987,1900-01-01 00:04:40.675000,Green,Track,11.501,29.83,41.656000000000006
3,GTLM,Jordan Taylor,3,1:23.073,1900-01-01 00:04:41.099000,Green,Track,11.557,29.623,41.893
25,GTLM,Bruno Spengler,3,1:22.303,1900-01-01 00:04:42.130000,Green,Track,11.511,29.77,41.022
14,GTD,Aaron Telitz,3,1:23.101,1900-01-01 00:04:44.189000,Green,Track,11.69,30.291999999999998,41.119
86,GTD,Matt McMurry,3,1:23.388,1900-01-01 00:04:45.648000,Green,Track,11.874,30.283,41.231
57,GTD,Misha Goikhberg,3,1:23.876,1900-01-01 00:04:46.415000,Green,Track,12.100999999999999,30.58,41.195
96,GTD,Robby Foley,3,1:24.472,1900-01-01 00:04:50.156000,Green,Track,11.947000000000001,30.866,41.659
22,GTD,Till Bechtolsheimer,3,1:26.388,1900-01-01 00:04:52.607000,Green,Track,12.047,30.929000000000002,43.412
23,GTD,Ian James,3,1:25.810,1900-01-01 00:04:53.095000,Green,Track,12.210999999999999,30.97,42.629
16,GTD,Ryan Hardwick,3,1:25.792,1900-01-01 00:04:53.553000,Green,Track,12.195,31.002,42.595
74,GTD,Gar Robinson,3,1:25.617,1900-01-01 00:04:53.905000,Green,Track,12.014000000000001,31.098000000000003,42.505
76,GTD,Corey Fergus,3,1:25.395,1900-01-01 00:04:54.159000,Green,Track,11.942,30.945999999999998,42.507
