Driver,Sector,Std
Dane Cameron,1,4.306561402738333
Dane Cameron,2,9.180393143905476
Dane Cameron,3,8.821928649110692
Pipo Derani,1,4.306561402738333
Pipo Derani,2,9.180393143905476
Pipo Derani,3,8.821928649110692
Jonathan Bomarito,1,4.306561402738333
Jonathan Bomarito,2,9.180393143905476
Jonathan Bomarito,3,8.821928649110692
Helio Castroneves,1,4.306561402738333
Helio Castroneves,2,9.180393143905476
Helio Castroneves,3,8.821928649110692
Ryan Briscoe,1,4.306561402738333
Ryan Briscoe,2,9.180393143905476
Ryan Briscoe,3,8.821928649110692
Oliver Jarvis,1,4.306561402738333
Oliver Jarvis,2,9.180393143905476
Oliver Jarvis,3,8.821928649110692
Sebastien Bourdais,1,4.306561402738333
Sebastien Bourdais,2,9.180393143905476
Sebastien Bourdais,3,8.821928649110692
Gabriel Aubry,1,4.306561402738333
Gabriel Aubry,2,9.180393143905476
Gabriel Aubry,3,8.821928649110692
Oliver Gavin,1,4.306561402738333
Oliver Gavin,2,9.180393143905476
Oliver Gavin,3,8.821928649110692
Jordan Taylor,1,4.306561402738333
Jordan Taylor,2,9.180393143905476
Jordan Taylor,3,8.821928649110692
Bruno Spengler,1,4.306561402738333
Bruno Spengler,2,9.180393143905476
Bruno Spengler,3,8.821928649110692
Aaron Telitz,1,4.306561402738333
Aaron Telitz,2,9.180393143905476
Aaron Telitz,3,8.821928649110692
Matt McMurry,1,4.306561402738333
Matt McMurry,2,9.180393143905476
Matt McMurry,3,8.821928649110692
Misha Goikhberg,1,4.306561402738333
Misha Goikhberg,2,9.180393143905476
Misha Goikhberg,3,8.821928649110692
Frankie Montecalvo,1,4.306561402738333
Frankie Montecalvo,2,9.180393143905476
Frankie Montecalvo,3,8.821928649110692
Robby Foley,1,4.306561402738333
Robby Foley,2,9.180393143905476
Robby Foley,3,8.821928649110692
Till Bechtolsheimer,1,4.306561402738333
Till Bechtolsheimer,2,9.180393143905476
Till Bechtolsheimer,3,8.821928649110692
Ian James,1,4.306561402738333
Ian James,2,9.180393143905476
Ian James,3,8.821928649110692
Ryan Hardwick,1,4.306561402738333
Ryan Hardwick,2,9.180393143905476
Ryan Hardwick,3,8.821928649110692
Gar Robinson,1,4.306561402738333
Gar Robinson,2,9.180393143905476
Gar Robinson,3,8.821928649110692
John Potter,1,4.306561402738333
John Potter,2,9.180393143905476
John Potter,3,8.821928649110692
Corey Fergus,1,4.306561402738333
Corey Fergus,2,9.180393143905476
Corey Fergus,3,8.821928649110692
Rob Ferriol,1,4.306561402738333
Rob Ferriol,2,9.180393143905476
Rob Ferriol,3,8.821928649110692
Jesse Krohn,1,4.306561402738333
Jesse Krohn,2,9.180393143905476
Jesse Krohn,3,8.821928649110692
Juan Pablo Montoya,1,4.306561402738333
Juan Pablo Montoya,2,9.180393143905476
Juan Pablo Montoya,3,8.821928649110692
Tommy Milner,1,4.306561402738333
Tommy Milner,2,9.180393143905476
Tommy Milner,3,8.821928649110692
John Edwards,1,4.306561402738333
John Edwards,2,9.180393143905476
John Edwards,3,8.821928649110692
Connor De Phillippi,1,4.306561402738333
Connor De Phillippi,2,9.180393143905476
Connor De Phillippi,3,8.821928649110692
Lawson Aschenbach,1,4.306561402738333
Lawson Aschenbach,2,9.180393143905476
Lawson Aschenbach,3,8.821928649110692
Andy Lally,1,4.306561402738333
Andy Lally,2,9.180393143905476
Andy Lally,3,8.821928649110692
Patrick Long,1,4.306561402738333
Patrick Long,2,9.180393143905476
Patrick Long,3,8.821928649110692
Townsend Bell,1,4.306561402738333
Townsend Bell,2,9.180393143905476
Townsend Bell,3,8.821928649110692
Felipe Nasr,1,4.306561402738333
Felipe Nasr,2,9.180393143905476
Felipe Nasr,3,8.821928649110692
Ricky Taylor,1,4.306561402738333
Ricky Taylor,2,9.180393143905476
Ricky Taylor,3,8.821928649110692
Tristan Vautier,1,4.306561402738333
Tristan Vautier,2,9.180393143905476
Tristan Vautier,3,8.821928649110692
Harry Tincknell,1,4.306561402738333
Harry Tincknell,2,9.180393143905476
Harry Tincknell,3,8.821928649110692
Renger van der Zande,1,4.306561402738333
Renger van der Zande,2,9.180393143905476
Renger van der Zande,3,8.821928649110692
Tristan Nunez,1,4.306561402738333
Tristan Nunez,2,9.180393143905476
Tristan Nunez,3,8.821928649110692
Jack Hawksworth,1,4.306561402738333
Jack Hawksworth,2,9.180393143905476
Jack Hawksworth,3,8.821928649110692
Paul Holton,1,4.306561402738333
Paul Holton,2,9.180393143905476
Paul Holton,3,8.821928649110692
Alvaro Parente,1,4.306561402738333
Alvaro Parente,2,9.180393143905476
Alvaro Parente,3,8.821928649110692
Antonio Garcia,1,4.306561402738333
Antonio Garcia,2,9.180393143905476
Antonio Garcia,3,8.821928649110692
Mario Farnbacher,1,4.306561402738333
Mario Farnbacher,2,9.180393143905476
Mario Farnbacher,3,8.821928649110692
Roman De Angelis,1,4.306561402738333
Roman De Angelis,2,9.180393143905476
Roman De Angelis,3,8.821928649110692
Marc Miller,1,4.306561402738333
Marc Miller,2,9.180393143905476
Marc Miller,3,8.821928649110692
Bill Auberlen,1,4.306561402738333
Bill Auberlen,2,9.180393143905476
Bill Auberlen,3,8.821928649110692
Joao Barbosa,1,4.306561402738333
Joao Barbosa,2,9.180393143905476
Joao Barbosa,3,8.821928649110692
