Driver,Yellow
Harry Tincknell,0
Filipe Albuquerque,0
Pipo Derani,0
Kevin Magnussen,0
Dane Cameron,0
Tristan Vautier,0
Gar Robinson,0
Jarett Andretti,0
Jonathan Bennett,0
Lance Willsey,0
Dan Goldburg,0
Jim Cox,0
Aaron Telitz,0
Robby Foley,0
Daniel Morad,0
Frankie Montecalvo,0
Madison Snow,0
Roman De Angelis,0
Richard Heistand,0
Jeff Kingsley,0
Till Bechtolsheimer,0
Zacharie Robichon,0
Ryan Hardwick,0
Rob Ferriol,0
John Potter,0
Felipe Nasr,0
Olivier Pla,0
Patrick Long,1
Dylan Murry,0
Jack Hawksworth,0
Joao Barbosa,0
Felipe Fraga,0
Michael de Quesada,0
Colin Braun,0
Rasmus Lindh,0
Oliver Askew,0
Mario Farnbacher,0
Andy Lally,0
Zach Veach,0
Ross Gunn,0
Marc Miller,0
Katherine Legge,0
Bryan Sellers,0
Jeff Westphal,0
Laurens Vanthoor,0
Loic Duval,0
Oliver Jarvis,0
Renger van der Zande,0
Ricky Taylor,0
Bill Auberlen,0
