"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"55","DPi","Harry Tincknell","1","1:53.480","1:53.480","Green","Track","27.654","47.747","38.077"
"10","DPi","Filipe Albuquerque","1","1:54.489","1:54.489","Green","Track","27.771","47.830","38.679"
"31","DPi","Pipo Derani","1","1:54.735","1:54.735","Green","Track","27.553","47.665","38.778"
"01","DPi","Kevin Magnussen","1","1:55.406","1:55.406","Green","Track","27.349","47.909","39.035"
"60","DPi","Dane Cameron","1","1:55.710","1:55.710","Green","Track","25.781","47.456","39.069"
"5","DPi","Tristan Vautier","1","1:56.155","1:56.155","Green","Track","26.357","47.516","39.600"
"74","LMP3","Gar Robinson","1","2:00.377","2:00.377","Green","Track","25.212","48.650","41.942"
"36","LMP3","Jarett Andretti","1","2:00.687","2:00.687","Green","Track","24.235","48.173","41.944"
"54","LMP3","Jonathan Bennett","1","2:01.333","2:01.333","Green","Track","24.701","48.450","42.582"
"33","LMP3","Lance Willsey","1","2:01.878","2:01.878","Green","Track","21.972","48.196","42.696"
"38","LMP3","Dan Goldburg","1","2:02.150","2:02.150","Green","Track","21.679","47.886","42.556"
"91","LMP3","Jim Cox","1","2:03.413","2:03.413","Green","Track","22.150","48.637","43.160"
"14","GTD","Aaron Telitz","1","2:27.297","2:27.297","Green","Track","28.644","51.661","41.780"
"96","GTD","Robby Foley","1","2:28.142","2:28.142","Green","Track","28.037","51.847","42.304"
"28","GTD","Daniel Morad","1","2:28.914","2:28.914","Green","Track","28.272","51.318","42.783"
"12","GTD","Frankie Montecalvo","1","2:29.143","2:29.143","Green","Track","27.643","51.154","43.055"
"1","GTD","Madison Snow","1","2:29.691","2:29.691","Green","Track","27.971","50.863","43.244"
"23","GTD","Roman De Angelis","1","2:29.991","2:29.991","Green","Track","26.945","50.872","43.320"
"39","GTD","Richard Heistand","1","2:30.429","2:30.429","Green","Track","24.812","50.271","43.503"
"76","GTD","Jeff Kingsley","1","2:30.863","2:30.863","Green","Track","26.415","51.126","43.683"
"66","GTD","Till Bechtolsheimer","1","2:31.579","2:31.579","Green","Track","24.283","50.795","44.080"
"9","GTD","Zacharie Robichon","1","2:31.780","2:31.780","Green","Track","22.630","49.853","43.542"
"16","GTD","Ryan Hardwick","1","2:32.365","2:32.365","Green","Track","23.872","50.481","44.624"
"88","GTD","Rob Ferriol","1","2:33.231","2:33.231","Green","Track","23.189","50.713","45.161"
"44","GTD","John Potter","1","2:33.422","2:33.422","Green","Track","23.101","50.308","45.195"
"55","DPi","Harry Tincknell","2","1:14.501","3:07.981","Green","Track","10.172","27.441","36.888"
"10","DPi","Filipe Albuquerque","2","1:15.123","3:09.612","Green","Track","10.267","27.411","37.445"
